Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66124,2006,7,17,17.8,1,Y
IDCJAC0010,66124,2006,7,18,16.7,1,Y
IDCJAC0010,66124,2006,7,19,13.5,1,Y
IDCJAC0010,66124,2006,7,20,14.5,1,Y
IDCJAC0010,66124,2006,7,21,16.1,1,Y
IDCJAC0010,66124,2006,7,22,16.3,1,Y
IDCJAC0010,66124,2006,7,23,18.2,1,Y
IDCJAC0010,66124,2006,7,24,14.5,1,Y
IDCJAC0010,66124,2006,7,25,18.7,1,Y
IDCJAC0010,66124,2006,7,26,17.2,1,Y
IDCJAC0010,66124,2006,7,27,19.5,1,Y
IDCJAC0010,66124,2006,7,28,20.2,1,Y
IDCJAC0010,66124,2006,7,29,21.8,1,Y
IDCJAC0010,66124,2006,7,30,19.3,1,Y
IDCJAC0010,66124,2006,7,31,18.8,1,Y
IDCJAC0010,66124,2006,8,1,18.2,1,Y
IDCJAC0010,66124,2006,8,2,13.9,1,Y
IDCJAC0010,66124,2006,8,3,19.5,1,Y
IDCJAC0010,66124,2006,8,4,12.6,1,Y
IDCJAC0010,66124,2006,8,5,17,1,Y
IDCJAC0010,66124,2006,8,6,17.8,1,Y
IDCJAC0010,66124,2006,8,7,17,1,Y
IDCJAC0010,66124,2006,8,8,21.4,1,Y
IDCJAC0010,66124,2006,8,9,20,1,Y
IDCJAC0010,66124,2006,8,10,17,1,Y
IDCJAC0010,66124,2006,8,11,19.8,1,Y
IDCJAC0010,66124,2006,8,12,19.7,1,Y
IDCJAC0010,66124,2006,8,13,20.2,1,Y
IDCJAC0010,66124,2006,8,14,21.6,1,Y
IDCJAC0010,66124,2006,8,15,20.5,1,Y
IDCJAC0010,66124,2006,8,16,21.1,1,Y
IDCJAC0010,66124,2006,8,17,25.2,1,Y
IDCJAC0010,66124,2006,8,18,22.8,1,Y
IDCJAC0010,66124,2006,8,19,19.7,1,Y
IDCJAC0010,66124,2006,8,20,20.5,1,Y
IDCJAC0010,66124,2006,8,21,20.5,1,Y
IDCJAC0010,66124,2006,8,22,25.2,1,Y
IDCJAC0010,66124,2006,8,23,22,1,Y
IDCJAC0010,66124,2006,8,24,19.3,1,Y
IDCJAC0010,66124,2006,8,25,21.2,1,Y
IDCJAC0010,66124,2006,8,26,17.7,1,Y
IDCJAC0010,66124,2006,8,27,20.7,1,Y
IDCJAC0010,66124,2006,8,28,18.5,1,Y
IDCJAC0010,66124,2006,8,29,19.2,1,Y
IDCJAC0010,66124,2006,8,30,20.9,1,Y
IDCJAC0010,66124,2006,8,31,21.8,1,Y
IDCJAC0010,66124,2006,9,1,27.6,1,Y
IDCJAC0010,66124,2006,9,2,28,1,Y
IDCJAC0010,66124,2006,9,3,27,1,Y
IDCJAC0010,66124,2006,9,4,20.5,1,Y
IDCJAC0010,66124,2006,9,5,22.7,1,Y
IDCJAC0010,66124,2006,9,6,20,1,Y
IDCJAC0010,66124,2006,9,7,17,1,Y
IDCJAC0010,66124,2006,9,8,19.5,1,Y
IDCJAC0010,66124,2006,9,9,15.8,1,Y
IDCJAC0010,66124,2006,9,10,16.2,1,Y
IDCJAC0010,66124,2006,9,11,16.8,1,Y
IDCJAC0010,66124,2006,9,12,18.5,1,Y
IDCJAC0010,66124,2006,9,13,21,1,Y
IDCJAC0010,66124,2006,9,14,23.2,1,Y
IDCJAC0010,66124,2006,9,15,23.9,1,Y
IDCJAC0010,66124,2006,9,16,23,1,Y
IDCJAC0010,66124,2006,9,17,25,1,Y
IDCJAC0010,66124,2006,9,18,28.2,1,Y
IDCJAC0010,66124,2006,9,19,30,1,Y
IDCJAC0010,66124,2006,9,20,30.2,1,Y
IDCJAC0010,66124,2006,9,21,28.2,1,Y
IDCJAC0010,66124,2006,9,22,30.3,1,Y
IDCJAC0010,66124,2006,9,23,30.7,1,Y
IDCJAC0010,66124,2006,9,24,33.8,1,Y
IDCJAC0010,66124,2006,9,25,18.5,1,Y
IDCJAC0010,66124,2006,9,26,21.2,1,Y
IDCJAC0010,66124,2006,9,27,25.5,1,Y
IDCJAC0010,66124,2006,9,28,21,1,Y
IDCJAC0010,66124,2006,9,29,29,1,Y
IDCJAC0010,66124,2006,9,30,20.7,1,Y
IDCJAC0010,66124,2006,10,1,23.5,1,Y
IDCJAC0010,66124,2006,10,2,29.6,1,Y
IDCJAC0010,66124,2006,10,3,21.3,1,Y
IDCJAC0010,66124,2006,10,4,23.2,1,Y
IDCJAC0010,66124,2006,10,5,33.3,1,Y
IDCJAC0010,66124,2006,10,6,22.2,1,Y
IDCJAC0010,66124,2006,10,7,27.9,1,Y
IDCJAC0010,66124,2006,10,8,30,1,Y
IDCJAC0010,66124,2006,10,9,18.5,1,Y
IDCJAC0010,66124,2006,10,10,20.2,1,Y
IDCJAC0010,66124,2006,10,11,26.9,1,Y
IDCJAC0010,66124,2006,10,12,33.4,1,Y
IDCJAC0010,66124,2006,10,13,37.2,1,Y
IDCJAC0010,66124,2006,10,14,37.2,1,Y
IDCJAC0010,66124,2006,10,15,22.6,1,Y
IDCJAC0010,66124,2006,10,16,16.5,1,Y
IDCJAC0010,66124,2006,10,17,23.8,1,Y
IDCJAC0010,66124,2006,10,18,29.8,1,Y
IDCJAC0010,66124,2006,10,19,25.7,1,Y
IDCJAC0010,66124,2006,10,20,29.5,1,Y
IDCJAC0010,66124,2006,10,21,16,1,Y
IDCJAC0010,66124,2006,10,22,19.3,1,Y
IDCJAC0010,66124,2006,10,23,21.2,1,Y
IDCJAC0010,66124,2006,10,24,25.5,1,Y
IDCJAC0010,66124,2006,10,25,28.7,1,Y
IDCJAC0010,66124,2006,10,26,19.6,1,Y
IDCJAC0010,66124,2006,10,27,31.8,1,Y
IDCJAC0010,66124,2006,10,28,21.3,1,Y
IDCJAC0010,66124,2006,10,29,19.7,1,Y
IDCJAC0010,66124,2006,10,30,21.8,1,Y
IDCJAC0010,66124,2006,10,31,27.8,1,Y
IDCJAC0010,66124,2006,11,1,27.5,1,Y
IDCJAC0010,66124,2006,11,2,33.6,1,Y
IDCJAC0010,66124,2006,11,3,22.2,1,Y
IDCJAC0010,66124,2006,11,4,18.2,1,Y
