"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2006/5/24",6,19,1,38,38,26,42,22,64
"2006/5/25",7,20,0,46,51,22,56,17,73
"2006/5/26",2,29,0,49,55,25,43,37,80
"2006/5/27",8,21,1,76,49,57,77,29,106
"2006/5/28",12,32,1,55,47,53,58,42,100
"2006/5/29",5,18,0,33,45,11,31,25,56
"2006/5/3",5,30,0,42,61,16,47,30,77
"2006/5/30",1,15,0,30,40,6,30,16,46
"2006/5/31",4,16,0,50,55,15,40,30,70
"2006/5/4",7,17,0,50,55,19,48,26,74
"2006/5/5",6,15,0,52,49,24,51,22,73
"2006/5/6",10,31,0,58,50,49,65,34,99
"2006/5/7",7,19,0,64,50,40,51,39,90
"2006/5/8",3,13,1,36,42,11,31,22,53
"2006/5/9",2,18,0,37,47,10,35,22,57
"2006/6/1",6,25,0,35,51,15,33,33,66
"2006/6/10",6,34,0,56,54,42,60,36,96
"2006/6/11",2,21,0,66,37,52,58,31,89
"2006/6/12",2,28,1,39,46,24,30,40,70
"2006/6/13",2,19,1,41,49,14,38,25,63
"2006/6/14",6,21,0,50,60,17,39,38,77
"2006/6/15",7,18,0,51,56,20,46,30,76
"2006/6/16",9,30,2,39,59,21,51,29,80
"2006/6/17",7,36,0,55,45,53,62,36,98
"2006/6/18",7,24,0,62,59,34,63,30,93
"2006/6/19",6,18,0,43,51,16,44,23,67
"2006/6/2",4,25,0,51,47,33,51,29,80
"2006/6/20",2,19,0,39,50,10,41,19,60
"2006/6/21",3,15,0,49,49,18,46,21,67
"2006/6/22",9,14,0,41,42,22,37,27,64
"2006/6/23",8,22,1,49,51,29,49,31,80
"2006/6/24",2,24,1,54,44,37,59,22,81
"2006/6/25",3,35,0,64,54,48,62,40,102
"2006/6/26",3,26,0,41,62,8,39,31,70
"2006/6/27",4,20,0,43,44,23,44,23,67
"2006/6/28",8,23,1,49,69,12,46,35,81
"2006/6/29",6,14,0,42,49,13,36,26,62
"2006/6/3",9,28,0,78,67,48,78,37,115
"2006/6/30",5,23,0,45,44,29,50,23,73
