date,Receiver,n,prop,rec
0014-04-27,4,439,0.6262482168330956,230
0014-04-27,2,456,0.6504992867332382,100
0014-04-27,1,684,0.9757489300998573,0
0014-04-28,3,409,0.5834522111269614,220
0014-04-28,5,7,0.009985734664764621,420
0014-04-28,4,373,0.5320970042796006,230
0014-04-28,2,473,0.6747503566333809,100
0014-04-28,1,648,0.9243937232524965,0
0014-04-29,3,383,0.5463623395149786,220
0014-04-29,5,40,0.05706134094151213,420
0014-04-29,4,402,0.5734664764621968,230
0014-04-29,2,512,0.7303851640513552,100
0014-04-29,1,648,0.9243937232524965,0
0014-04-30,3,395,0.5634807417974322,220
0014-04-30,5,24,0.034236804564907276,420
0014-04-30,4,406,0.57917261055634806,230
0014-04-30,2,527,0.7517831669044223,100
0014-04-30,1,642,0.9158345221112696,0
0014-05-01,3,458,0.6533523537803139,220
0014-05-01,4,468,0.6676176890156919,230
0014-05-01,2,503,0.717546362339515,100
0014-05-01,1,645,0.920114122681883,0
0014-05-02,3,447,0.637660485021398,220
0014-05-02,4,508,0.724679029957204,230
0014-05-02,2,664,0.9472182596291013,100
0014-05-02,1,675,0.9629101283880172,0
0014-05-03,3,518,0.738944365192582,220
0014-05-03,4,593,0.8459343794579173,230
0014-05-03,2,635,0.905848787446505,100
0014-05-03,1,674,0.9614835948644793,0
0014-05-04,3,329,0.4693295292439372,220
0014-05-04,4,540,0.7703281027104137,230
0014-05-04,2,686,0.978601997146933,100
0014-05-04,1,697,0.9942938659058488,0
0014-05-05,3,101,0.14407988587731813,220
0014-05-05,4,556,0.7931526390870185,230
0014-05-05,2,674,0.9614835948644793,100
0014-05-05,1,705,1.005706134094151,0
0014-05-06,3,207,0.29529243937232524,220
0014-05-06,4,516,0.7360912981455064,230
0014-05-06,2,696,0.992867332382311,100
0014-05-06,1,708,1.0099857346647647,0
0014-05-07,3,373,0.5320970042796006,220
0014-05-07,4,610,0.8701854493580599,230
0014-05-07,2,650,0.927246790299572,100
0014-05-07,1,692,0.9871611982881597,0
0014-05-08,3,251,0.35805991440798857,220
0014-05-08,4,561,0.8002853067047075,230
0014-05-08,2,661,0.9429386590584878,100
0014-05-08,1,668,0.9529243937232525,0
0014-05-09,3,368,0.5249643366619116,220
0014-05-09,4,544,0.776034236804565,230
0014-05-09,2,607,0.8659058487874465,100
0014-05-09,1,690,0.9843081312410842,0
0014-05-10,3,320,0.456490727532097,220
0014-05-10,4,581,0.8288159771754636,230
0014-05-10,2,606,0.8644793152639088,100
0014-05-10,1,645,0.920114122681883,0
0014-05-11,3,274,0.3908701854493581,220
0014-05-11,4,531,0.7574893009985735,230
0014-05-11,2,588,0.8388017118402282,100
0014-05-11,1,660,0.9415121255349501,0
0014-05-12,3,391,0.557774607703281,220
0014-05-12,4,567,0.8088445078459344,230
0014-05-12,2,588,0.8388017118402282,100
0014-05-12,1,661,0.9429386590584878,0
0014-05-13,3,417,0.5948644793152639,220
0014-05-13,4,546,0.7788873038516405,230
0014-05-13,2,596,0.8502139800285307,100
0014-05-13,1,653,0.9315263908701854,0
0014-05-14,3,355,0.5064194008559201,220
0014-05-14,4,468,0.6676176890156919,230
0014-05-14,2,649,0.9258202567760342,100
0014-05-14,1,670,0.9557774607703281,0
0014-05-15,3,427,0.609129814550642,220
0014-05-15,4,507,0.7232524964336662,230
0014-05-15,2,603,0.8601997146932953,100
0014-05-15,1,694,0.9900142653352354,0
0014-05-16,3,445,0.6348074179743224,220
0014-05-16,4,534,0.7617689015691869,230
0014-05-16,2,616,0.8787446504992867,100
0014-05-16,1,656,0.9358059914407989,0
0014-05-17,3,357,0.5092724679029957,220
0014-05-17,4,431,0.6148359486447932,230
0014-05-17,2,646,0.9215406562054208,100
0014-05-17,1,663,0.9457917261055635,0
0014-05-18,3,324,0.46219686162624823,220
0014-05-18,4,495,0.7061340941512125,230
0014-05-18,2,550,0.7845934379457917,100
0014-05-18,1,666,0.9500713266761769,0
0014-05-19,3,134,0.19115549215406563,220
0014-05-19,4,260,0.37089871611982883,230
0014-05-19,2,323,0.4607703281027104,100
0014-05-19,1,333,0.47503566333808844,0
0014-03-11,3,2705,0.5673238255033557,200
0014-03-11,1,2781,0.583263422818792,0
0014-03-11,2,2656,0.5570469798657718,190
0014-03-11,4,2367,0.49643456375838924,320
0014-03-11,5,361,0.07571308724832215,420
0014-03-12,3,3479,0.7296560402684564,200
0014-03-12,1,4310,0.9039429530201343,0
0014-03-12,2,3866,0.8108221476510067,190
